tic,sic
IMG.,1040
IMO,2911
IMO.,2911
INCY,2836
INFA.1,7372
INFO,7370
INFY,7371
ING,6199
INGR,2040
INSG,3661
INTC,3674
INTU,7372
IOC,1311
IONS,2836
IP,2631
IPG,7311
IRF,3674
IRM,6798
ISG,6199
ISIL,3674
ISRG,3845
IT,8700
ITC,4911
ITG,6211
ITRI,3824
ITT,3561
ITUB,6020
ITW,3560
IVE,6722
IVV,6722
IVW,6722
IVZ,6282
IWB,6722
IWD,6722
IWF,6722
IWM,6722
IWN,6722
IWO,6722
IWP,6722
IWR,6722
IWS,6722
IWV,6722
IYE,6722
IYF,6722
IYG,6722
IYM,6722
IYR,6722
IYT,6722
IYW,6722
IYZ,6722
J,7370
JACK,5812
JAH,3089
JBHT,4213
JBL,3672
JBLU,4512
JCI,3585
JCI.PZ,3585
JEF,6211
JEF.3,6211
JKHY,7373
JLL,6531
JNJ,2834
JNPR,3576
JNS,6282
JNY,2330
JOE,7011
JOSB,2300
JOY,3532
JPM,6020
JPM.PE.,6020
JPM.PF.,6020
JPM.PG.1,6020
JPM.PI,6020
JPM.WS,6020
JRCCQ,1220
JSM,6111
JWN,5651
K,2040
K.,1040
K.WT.C,1040
KATE,2300
KB,6020
KBE,6722
KBH,1531
KCE,6722
KCG.1,6211
KCI,2836
KDN,3562
KEGXQ,1381
KEP,4911
KEX,4400
KEY,6020
KEY.PG,6020
KFN,6799
KG,2834
KGC,1040
KIM,6798
KIM.PF,6798
KIM.PG,6798
KLAC,3827
KMB,2621
KMP,4922
KMR,4610
KMT,3540
KMX,5500
KND,8051
KNX,4213
KO,2086
KR,5411
KRC,6798
KRC.PE,6798
KRC.PF,6798
KSS,5311
KSU,4011
KSU.P,4011
KT,4813
KWKAQ,1311
L,6331
LAMR,6798
LAZ,6282
LBTYA,4841
LBTYB,4841
LBTYK,4841
LCAV,8093
LCC,4512
LEAP.5,4812
LECO,3540
LEG,2510
LEHCQ,6211
LEHDQ,6211
LEHFQ,6211
LEHGQ,6211
LEHJQ,6211
LEHMQ,6211
LEHPQ,6211
LEN,1531
LEN.B,1531
LH,8071
LHO,6798
LHO.PB,6798
LHO.PD,6798
LHO.PE,6798
LHO.PG,6798
LHX,3812
LIFE.3,2836
LII,3585
LIN,2810
LKQ,5010
LLL.1,3812
LLTC,3674
LLY,2834
LM,6282
LMI,6282
LMT,3760
LNC,6311
LNC.P,6311
LNC.PG,6311
LNCR,8090
LNG,1311
LNN,3523
LNT,4931
LNW,3570
LO,2111
LOGI,3577
LOW,5211
LPL,3679
LPNT,8062
LPT,6798
LPX,2400
LQD,6722
LRCX,3559
LSI.1,3674
LSTR,4213
LTM.2,7997
LUFK,3533
LUMN,4813
LUV,4512
LVLT,4813
LVS,7990
LWSN,7372
LXK,3577
LYG,6020
LYV,7900
LZ.1,2990
M,5311
MAA,6798
MAA.PH,6798
MAC,6798
MAN,7363
MAR,7011
MAS,3430
MAT,3942
MATK,2833
MATX,4400
MBGAF,3711
MBI,6351
MBT,4812
MCD,5812
MCHP,3674
MCK,5122
MCO,7323
MCRS,7373
MD,8011
MDC,1531
MDCO,2834
MDLZ,2052
MDP,2721
MDPEB,2721
MDRIQ,8711
MDT,3845
MDU,1700
MDY,6722
MEE,1220
MENT,7373
MEOH,2860
MET,6311
MET.PA,6311
MET.PB,6311
MFA,6798
MFA.PA,6798
MFC,6311
MFC.,6311
MFC.PD,6311
MFC.PE,6311
MFC.PR.A,6311
MFC.PR.B,6311
MFC.PR.C,6311
MFE,7372
MFIC,6797
MG.,3714
MGA,3714
MGI,6099
MGLN,8741
MGM,7990
MHK,2273
MHS,5912
MI.1,6020
MKC,2090
MKC.V,2090
MKL,6331
MLKN,2520
MLM,1400
MMC,6411
MMM,9997
MMR,1311
MMR.PM,1311
MNST,2086
MO,2111
MOLX,3678
MOLXA,3678
MON.1,100
MOS,2870
MOTAF,4812
MOTAY,4812
MPG.3,6798
MPG.PA,6798
MRH,6331
MRK,2834
MRO,1311
MRVL,3674
MRX.3,2834
MS,6211
MSCC,3674
MSFT,7372
MSI,3663
MSM,5084
MSTR,7372
MT,3312
MTB,6020
MTCH,7370
MTD,3826
MTG,6351
MTH,1531
MTL,3312
MTN,7990
MTOR,3714
MTW,3530
MU,3674
MUFG,6020
MUR,1311
MWV,2631
MWW,7370
MX.,2860
MXIM,3674
MYGN,2835
NAL,6036
NAT,4400
NAV,3711
NAV.PD,3711
NAVI,6111
NBL,1311
NBR,1381
NDAQ,6200
NDN,5331
NDSN,3569
NEBLQ.1,1381
NEE,4911
